# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/NPs10nmEGPa.txt
# Range: 159.86975 to 2095.75376 (points=1650)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = -19.165666 +/- 0.106200
# g0 = 25.611915 +/- 0.265667
# q = -4.335132 +/- 0.089116
# a = 0.543100 +/- 0.000000e+00
# L = 13.752900 +/- 0.000000e+00
# N = 0.010172 +/- 4.799225e-05
# y0 = 0.012844 +/- 2.130371e-03
# N_g = 0.068287 +/- 4.067750e-03
# x0 = 4.789492e+02 +/- 1.273262
# gg = 50.322616 +/- 4.343101
# x	experimental	fitted	residual
159.87	0.272424	0.0809336	0.19149
161.221	0.262682	0.0809968	0.181685
162.572	0.253625	0.0810604	0.172565
163.922	0.245254	0.0811245	0.16413
165.272	0.237569	0.0811891	0.15638
166.623	0.233234	0.0812542	0.15198
167.973	0.232118	0.0813198	0.150798
169.322	0.223191	0.081386	0.141805
170.672	0.215548	0.0814527	0.134095
172.021	0.213926	0.0815199	0.132406
173.37	0.202063	0.0815876	0.120475
174.719	0.199896	0.0816559	0.11824
176.068	0.189894	0.0817248	0.108169
177.416	0.176067	0.0817942	0.0942728
178.764	0.168642	0.0818642	0.0867782
180.112	0.163922	0.0819347	0.0819877
181.46	0.161697	0.0820059	0.0796911
182.808	0.16006	0.0820776	0.0779823
184.155	0.15369	0.0821499	0.0715398
185.502	0.150336	0.0822229	0.068113
186.849	0.137047	0.0822965	0.0547508
188.196	0.119872	0.0823707	0.0375015
189.542	0.105396	0.0824455	0.022951
190.888	0.0933061	0.082521	0.0107851
192.234	0.0880199	0.0825971	0.00542287
193.58	0.077125	0.0826739	-0.00554889
194.926	0.0677821	0.0827513	-0.0149692
196.271	0.0628636	0.0828295	-0.0199659
197.616	0.052323	0.0829083	-0.0305853
198.961	0.035894	0.0829879	-0.0470939
200.306	0.0260536	0.0830681	-0.0570145
201.651	0.0191789	0.0831491	-0.0639702
202.995	0.0215682	0.0832308	-0.0616626
204.339	0.0133573	0.0833133	-0.069956
205.683	0.0177433	0.0833965	-0.0656532
207.027	0.0191266	0.0834806	-0.0643539
208.37	0.0163732	0.0835653	-0.0671921
209.714	0.00736939	0.0836509	-0.0762816
211.057	0.000420762	0.0837374	-0.0833166
212.399	-0.00414792	0.0838246	-0.0879725
213.742	-0.00169934	0.0839127	-0.085612
215.084	-0.00471584	0.0840016	-0.0887175
216.427	-0.00209138	0.0840914	-0.0861828
217.769	-0.00394175	0.0841822	-0.0881239
219.11	-0.00546457	0.0842738	-0.0897383
220.452	-0.0106663	0.0843663	-0.0950326
221.793	-0.0171936	0.0844598	-0.101653
223.134	-0.0246365	0.0845543	-0.109191
224.475	-0.0237445	0.0846497	-0.108394
225.816	-0.0299628	0.0847461	-0.114709
227.156	-0.0264085	0.0848436	-0.111252
228.497	-0.0210946	0.0849421	-0.106037
229.837	-0.0180167	0.0850417	-0.103058
231.177	-0.0192991	0.0851424	-0.104442
232.516	-0.0146211	0.0852443	-0.0998654
233.856	-0.0168298	0.0853472	-0.102177
235.195	-0.0211014	0.0854514	-0.106553
236.534	-0.0319216	0.0855568	-0.117478
237.873	-0.0320962	0.0856635	-0.11776
239.211	-0.0313256	0.0857714	-0.117097
240.549	-0.0309463	0.0858807	-0.116827
241.887	-0.0368573	0.0859913	-0.122849
243.225	-0.0371593	0.0861033	-0.123263
244.563	-0.0383024	0.0862169	-0.124519
245.9	-0.0310254	0.0863319	-0.117357
247.238	-0.027129	0.0864485	-0.113578
248.575	-0.018992	0.0865668	-0.105559
249.912	-0.0117652	0.0866867	-0.0984519
251.248	-0.0123142	0.0868084	-0.0991227
252.585	-0.0147293	0.086932	-0.101661
253.921	-0.023211	0.0870575	-0.110269
255.257	-0.0262621	0.0871851	-0.113447
256.592	-0.0240049	0.0873148	-0.11132
257.928	-0.0221869	0.0874467	-0.109634
259.263	-0.021037	0.0875811	-0.108618
260.598	-0.0215907	0.087718	-0.109309
261.933	-0.024085	0.0878576	-0.111943
263.268	-0.0206188	0.088	-0.108619
264.602	-0.0266135	0.0881455	-0.114759
265.937	-0.0247044	0.0882943	-0.112999
267.271	-0.0211901	0.0884465	-0.109637
268.605	-0.0169808	0.0886025	-0.105583
269.938	-0.0100802	0.0887624	-0.0988426
271.271	-0.0056205	0.0889265	-0.094547
272.605	0.00428313	0.089095	-0.0848119
273.938	0.013721	0.0892681	-0.0755471
275.27	0.0121886	0.0894458	-0.0772571
276.603	0.0178892	0.0896279	-0.0717387
277.935	0.0185319	0.0898142	-0.0712823
279.267	0.0185145	0.090004	-0.0714894
280.599	0.0197804	0.0901962	-0.0704158
281.931	0.0145243	0.0903894	-0.0758651
283.262	0.0200655	0.0905817	-0.0705161
284.593	0.0230487	0.0907709	-0.0677223
285.925	0.021352	0.0909552	-0.0696032
287.255	0.0232572	0.0911329	-0.0678758
288.586	0.0223273	0.0913032	-0.0689758
289.916	0.0262479	0.091466	-0.0652181
291.246	0.0240564	0.091622	-0.0675656
292.576	0.0261909	0.0917726	-0.0655817
293.906	0.0344242	0.0919191	-0.057495
295.236	0.0380336	0.0920632	-0.0540296
296.565	0.0349481	0.0922062	-0.0572581
297.894	0.0362737	0.0923492	-0.0560756
299.223	0.0399499	0.0924931	-0.0525432
300.552	0.0429953	0.0926386	-0.0496432
301.88	0.0425722	0.0927861	-0.0502139
303.208	0.0484609	0.0929361	-0.0444752
304.536	0.051432	0.0930887	-0.0416567
305.864	0.0517013	0.0932442	-0.0415428
307.192	0.0483743	0.0934026	-0.0450283
308.519	0.0511514	0.0935639	-0.0424126
309.846	0.0531912	0.0937284	-0.0405372
311.173	0.0521378	0.0938958	-0.0417581
312.5	0.0545026	0.0940664	-0.0395639
313.826	0.0568328	0.0942401	-0.0374073
315.153	0.0597435	0.0944168	-0.0346733
316.479	0.0634422	0.0945966	-0.0311545
317.804	0.0692094	0.0947796	-0.0255702
319.13	0.0731133	0.0949656	-0.0218524
320.456	0.072151	0.0951548	-0.0230038
321.781	0.0668976	0.0953472	-0.0284495
323.106	0.0624669	0.0955426	-0.0330757
324.431	0.0604853	0.0957413	-0.0352559
325.755	0.0594196	0.0959432	-0.0365235
327.08	0.061245	0.0961483	-0.0349033
328.404	0.0631556	0.0963566	-0.033201
329.728	0.058571	0.0965683	-0.0379973
331.051	0.0605324	0.0967833	-0.0362509
332.375	0.0586312	0.0970016	-0.0383704
333.698	0.0557212	0.0972234	-0.0415022
335.021	0.0607496	0.0974487	-0.0366991
336.344	0.0608186	0.0976774	-0.0368588
337.667	0.0654532	0.0979098	-0.0324566
338.989	0.0623599	0.0981457	-0.0357859
340.311	0.0591895	0.0983854	-0.0391959
341.633	0.0662175	0.0986288	-0.0324113
342.955	0.0658025	0.098876	-0.0330736
344.277	0.0672936	0.0991271	-0.0318335
345.598	0.070201	0.0993821	-0.0291811
346.919	0.064361	0.0996412	-0.0352802
348.24	0.0612684	0.0999044	-0.0386361
349.561	0.0570657	0.100172	-0.0431061
350.881	0.0612859	0.100443	-0.0391575
352.202	0.066145	0.100719	-0.0345743
353.522	0.0697318	0.101	-0.031268
354.841	0.076766	0.101285	-0.0245187
356.161	0.0806405	0.101574	-0.0209339
357.48	0.0757969	0.101869	-0.0260718
358.8	0.0699497	0.102168	-0.0322181
360.119	0.064872	0.102472	-0.0375999
361.437	0.0675675	0.102781	-0.0352135
362.756	0.0665123	0.103095	-0.0365831
364.074	0.0679888	0.103415	-0.0354262
365.392	0.0729128	0.10374	-0.0308273
366.71	0.0827775	0.104071	-0.021293
368.028	0.088463	0.104407	-0.0159438
369.346	0.0895166	0.104749	-0.0152322
370.663	0.0905809	0.105097	-0.0145159
371.98	0.0891936	0.105451	-0.0162573
373.297	0.086321	0.105811	-0.0194904
374.613	0.0797242	0.106178	-0.0264539
375.93	0.078425	0.106551	-0.0281264
377.246	0.0810976	0.106932	-0.0258339
378.562	0.0831768	0.107319	-0.024142
379.878	0.0835177	0.107713	-0.0241955
381.193	0.0870478	0.108115	-0.021067
382.509	0.0880916	0.108524	-0.0204324
383.824	0.08851	0.108941	-0.0204311
385.139	0.0865938	0.109366	-0.0227725
386.453	0.0882715	0.1098	-0.0215285
387.768	0.0884665	0.110242	-0.0217759
389.082	0.0913743	0.110694	-0.0193195
