# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/10nm_50L.txt
# Range: 400.7176 to 639.5074 (points=287)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = 6.926447 +/- 0.030127
# g0 = 9.318600 +/- 0.062469
# q = -17.912705 +/- 0.716269
# a = 0.543100 +/- 0.000000e+00
# L = 10.000000 +/- 0.000000e+00
# N = 0.011048 +/- 4.945312e-05
# y0 = 0.018027 +/- 6.609782e-04
# x	experimental	fitted	residual
400.718	0.0376426	0.0288662	0.00877634
401.574	0.0380228	0.0289759	0.00904696
402.43	0.0370722	0.029094	0.00797826
403.286	0.0375475	0.0292223	0.00832528
404.142	0.0368821	0.0293624	0.00751973
404.998	0.0361217	0.029516	0.00660563
405.853	0.0376426	0.029684	0.00795863
406.709	0.0367871	0.0298652	0.00692183
407.564	0.0385932	0.0300562	0.00853696
408.419	0.0376426	0.0302499	0.00739267
409.274	0.0393536	0.030437	0.00891657
410.128	0.0382129	0.0306078	0.00760513
410.983	0.038403	0.0307547	0.00764838
411.838	0.036692	0.0308747	0.00581728
412.692	0.0401141	0.030971	0.00914302
413.546	0.0388783	0.0310522	0.00782609
414.4	0.0379278	0.0311306	0.00679711
415.254	0.039924	0.0312193	0.00870469
416.108	0.0385932	0.0313283	0.00726482
416.961	0.0388783	0.0314626	0.00741568
417.815	0.0394487	0.0316202	0.00782851
418.668	0.039924	0.0317925	0.00813144
419.521	0.0403992	0.0319674	0.00843189
420.374	0.0407795	0.0321318	0.00864766
421.227	0.0423004	0.0322763	0.0100241
422.079	0.0395437	0.0323973	0.00714638
422.932	0.0406844	0.0324989	0.0081855
423.784	0.0403042	0.0325914	0.00771274
424.636	0.0406844	0.0326891	0.00799534
425.488	0.0421103	0.0328056	0.00930469
426.34	0.0425856	0.0329504	0.00963517
427.192	0.0426806	0.0331256	0.00955499
428.044	0.0421103	0.0333254	0.00878488
428.895	0.0427757	0.0335373	0.00923838
429.746	0.04173	0.033746	0.00798404
430.597	0.0438213	0.0339381	0.00988321
431.448	0.0419202	0.0341061	0.0078141
432.299	0.0429658	0.034251	0.0087148
433.15	0.0404943	0.0343825	0.00611179
434	0.0420152	0.0345161	0.00749914
434.851	0.0411597	0.0346684	0.00649131
435.701	0.0411597	0.0348521	0.00630761
436.551	0.0418251	0.0350718	0.00675332
437.401	0.039924	0.0353221	0.00460181
438.251	0.0411597	0.0355897	0.00556996
439.1	0.0414449	0.0358568	0.00558804
439.95	0.0428707	0.0361075	0.00676325
440.799	0.0413498	0.0363328	0.00501704
441.648	0.0419202	0.0365343	0.00538586
442.497	0.0409696	0.036724	0.00424562
443.346	0.0423004	0.0369204	0.00537997
444.195	0.0419202	0.0371429	0.0047772
445.043	0.0428707	0.037405	0.00546572
445.892	0.0423004	0.0377094	0.004591
446.74	0.0422053	0.038047	0.00415835
447.588	0.0410646	0.0383996	0.00266501
448.436	0.0427757	0.0387468	0.00402889
449.284	0.0423004	0.0390725	0.00322785
450.131	0.0429658	0.0393721	0.00359364
450.979	0.043346	0.0396543	0.00369174
451.826	0.04173	0.0399384	0.00179168
452.673	0.0442015	0.0402481	0.00395347
453.52	0.0446768	0.0406024	0.00407437
454.367	0.0443916	0.0410089	0.00338271
455.214	0.0441065	0.04146	0.00264642
456.061	0.0456274	0.041936	0.00369138
456.907	0.0446768	0.0424127	0.00226414
457.753	0.0453422	0.042871	0.00247123
458.599	0.0454373	0.0433055	0.00213176
459.445	0.0471483	0.0437276	0.0034207
460.291	0.048384	0.0441616	0.00422246
461.137	0.0479087	0.0446357	0.00327305
461.983	0.0492395	0.0451705	0.004069
462.828	0.0507605	0.0457705	0.00498994
463.673	0.0505703	0.0464216	0.00414874
464.518	0.0503802	0.0470977	0.00328257
465.363	0.0526616	0.047772	0.00488961
466.208	0.0529468	0.0484305	0.00451627
467.053	0.0535171	0.0490793	0.00443785
467.897	0.0559886	0.0497436	0.00624494
468.741	0.0556084	0.0504582	0.00515017
469.585	0.0559886	0.0512509	0.00473765
470.429	0.0562738	0.0521314	0.00414237
471.273	0.0585551	0.0530857	0.0054694
472.117	0.0579848	0.0540842	0.00390056
